Title,MealIndex,Calories,Protein,Carbs,Tags,Ingredient,Procedure
비빔밥,"0,1",540,14,85,"건강, 채소","[쌀, 1, 컵]; [시금치, 50, g]; [소고기, 50, g]; [달걀, 1, 개]; [고추장, 1, T]","""1. 쌀을 깨끗이 씻어 밥을 짓는다.""; ""2. 시금치를 데쳐서 물기를 제거하고 소금과 참기름으로 무친다."";"" 3. 소고기를 간장, 설탕, 마늘, 후추로 양념하여 볶아둔다."";"" 4. 계란을 프라이하여 준비한다."";"" 5. 각 재료(시금치, 소고기, 당근, 고사리)를 밥 위에 올린다."";"" 6. 고추장을 곁들여 함께 비벼 먹는다."""
불고기,"1,2",450,25,20,"고기, 인기","[소고기, 200, g]; [간장, 3, T]; [설탕, 1, T]; [마늘, 1, 쪽]","""1. 소고기를 얇게 썰어 간장, 설탕, 다진 마늘, 참기름, 후추로 30분간 양념에 재워둔다."". ""2. 팬을 중불로 달구고 재워둔 고기를 노릇하게 볶는다."";"" 3. 양파와 대파를 넣어 함께 볶아 향을 더한다.""; 4. 고기가 다 익으면 불을 끄고 접시에 담아낸다. """
김치찌개,"0,1",350,20,15,"찌개, 인기","[김치, 200, g]; [돼지고기, 100, g]; [두부, 50, g]; [양파, 1, 개]","""1. 냄비에 참기름을 두르고 김치와 돼지고기를 넣어 중불에서 잘 볶는다."";"" 2. 김치가 반투명해지면 물을 붓고 고춧가루를 더해 끓인다. "";""3. 두부를 깍둑썰어 넣고 양파도 채 썰어 넣는다."";"" 4. 약한 불에서 15분간 끓여 맛이 우러나게 한다. 5. 마지막에 대파와 청양고추를 넣어 간을 맞춘다."""
된장찌개,"0,1",300,12,18,"찌개, 건강","[된장, 2, T]; [애호박, 50, g]; [두부, 50, g]; [감자, 1, 개]","""1. 냄비에 물을 붓고 된장을 풀어 기본 국물을 만든다. "";""2. 감자와 호박을 깍둑썰어 넣고 함께 끓인다. "";""3. 두부도 깍둑썰어 넣고 다진 마늘을 넣어 맛을 더한다. "";""4. 중약불에서 재료가 다 익을 때까지 끓인다. "";""5. 마지막에 청양고추와 대파를 추가하고 간이 싱거우면 된장을 추가해 간을 맞춘다."""
잡채,"0,1",450,8,60,"면 요리, 파티 음식","[당면, 100, g]; [소고기, 50, g]; [당근, 30, g]; [시금치, 50, g]","""1. 당면을 찬물에 30분간 불려 준비한다. "";""2. 팬에 기름을 두르고 채 썬 소고기를 볶다가 당근, 양파, 버섯을 순서대로 넣고 볶는다. "";""3. 불린 당면을 삶아 물기를 제거하고 간장, 설탕, 참기름으로 양념한다. "";""4. 모든 재료를 큰 볼에 넣고 골고루 섞는다. "";""5. 접시에 예쁘게 담아 참깨를 뿌려 마무리한다."""
갈비찜,2,600,25,30,"고기, 특별 요리","[소갈비, 300, g]; [간장, 3, T]; [설탕, 2, T]; [마늘, 3, 쪽]; [대파, 1, 대]","""1. 소갈비를 물에 씻는다. "";""2. 양념을 만들어 고기에 재운다."";"" 3. 2시간 동안 조린다."""
삼계탕,2,750,40,20,"건강, 보양식","[닭, 1, 마리]; [대추, 5, 개]; [마늘, 3, 쪽]; [인삼, 1, 뿌리]; [찹쌀, 0.5, 컵]","""1. 닭과 재료를 준비한다. "";""2. 모든 재료를 넣고 1시간 동안 끓인다."";"" 3. 완성된 삼계탕을 낸다."""
떡국,0,300,8,45,"명절 음식, 떡","[떡, 200, g]; [육수, 500, ml]; [달걀, 1, 개]; [김가루, 1, T]","""1. 떡을 물에 불린다."";"" 2. 육수를 끓여 떡을 넣고 끓인다."";"" 3. 달걀을 풀어 넣고 마무리한다."""
비빔국수,1,400,10,65,"면 요리, 여름 음식","[국수, 100, g]; [오이, 30, g]; [고추장, 1, T]; [참기름, 1, T]","""1. 국수를 삶아 찬물에 헹군다."";"" 2. 고추장 양념에 비벼낸다."";"" 3. 오이와 함께 낸다."""
김밥,0,320,8,60,"간식, 도시락","[밥, 1, 컵]; [김, 1, 장]; [단무지, 20, g]; [당근, 10, g]; [시금치, 20, g]","""1. 밥에 소금과 참기름을 섞는다."";"" 2. 김에 밥과 재료를 올려 말아낸다."";"" 3. 먹기 좋은 크기로 자른다."""
파전,"0,1",360,10,45,"한식, 전, 간식","[부침가루, 100, g]; [물, 150, ml]; [파, 50, g]; [해물믹스, 100, g]","""1. 부침가루와 물을 섞어 반죽을 만든다."";"" 2. 해물과 파를 반죽에 넣고 섞는다."";"" 3. 팬에 부쳐 완성한다."""
고추장 불고기,2,420,18,20,"한식, 고기 요리, 매운맛","[돼지고기, 200, g]; [고추장, 2, T]; [양파, 50, g]; [마늘, 1, 쪽]","""1. 돼지고기에 고추장과 양파, 마늘을 넣고 재운다.""; ""2. 팬에서 볶아 완성한다."""
카르보나라,1,500,15,60,"이탈리아, 파스타, 크림","[스파게티 면, 100, g]; [베이컨, 50, g]; [달걀, 1, 개]; [파르메산 치즈, 20, g]","""1. 면을 삶아둔다."";"" 2. 베이컨을 볶고 달걀과 치즈를 섞어 면과 버무린다."";"" 3. 소금과 후추로 간을 맞춘다."""
타코,"0,2",300,12,35,"멕시코, 스트리트 푸드","[옥수수 또띠아, 1, 장]; [소고기, 50, g]; [양파, 20, g]; [살사 소스, 1, T]","""1. 소고기를 볶아 또띠아에 올린다."";"" 2. 양파와 살사 소스를 얹어 완성한다."""
초밥,0,250,8,50,"일식, 생선, 쌀","[밥, 1, 컵]; [생선, 50, g]; [간장, 1, T]; [와사비, 적당히]","""1. 밥을 손으로 뭉쳐 생선을 올린다."";"" 2. 간장과 와사비를 곁들인다."""
프렌치 토스트,"0,1",340,10,40,"프랑스, 아침식사, 빵","[식빵, 2, 조각]; [우유, 50, ml]; [달걀, 1, 개]; [메이플 시럽, 1, T]","""1. 우유와 달걀을 섞어 빵을 적신다."";"" 2. 팬에 빵을 구워 시럽을 곁들인다."""
마르게리타 피자,"1,2",700,20,85,"이탈리아, 피자, 치즈","[피자 도우, 1, 개]; [토마토 소스, 3, T]; [모차렐라 치즈, 100, g]; [바질, 약간]","""1. 도우에 소스를 바른다."";"" 2. 치즈와 바질을 올리고 오븐에 굽는다."""
팟타이,1,450,15,55,"태국, 면 요리, 매콤","[쌀국수, 100, g]; [새우, 50, g]; [달걀, 1, 개]; [땅콩, 1, T]","""1. 국수를 삶아 준비한다."";"" 2. 새우와 달걀을 볶고 국수를 넣는다."";"" 3. 땅콩을 뿌린다."""